time;gFx;gFy;gFz;TgF
0,855000;-0,2724;0,3452;0,8812;0,985
0,856000;-0,2695;0,3452;0,8803;0,983
0,859000;-0,2687;0,3445;0,8803;0,983
0,861000;-0,2651;0,3420;0,8842;0,984
0,862000;-0,2614;0,3408;0,8854;0,984
0,864000;-0,2614;0,3403;0,8861;0,985
0,866000;-0,2607;0,3389;0,8881;0,986
0,869000;-0,2609;0,3350;0,8891;0,985
0,870000;-0,2612;0,3337;0,8905;0,986
0,872000;-0,2629;0,3315;0,8935;0,989
0,874000;-0,2653;0,3315;0,8961;0,992
0,876000;-0,2661;0,3303;0,8966;0,992
0,878000;-0,2680;0,3274;0,8988;0,993
0,881000;-0,2702;0,3259;0,8983;0,993
0,882000;-0,2714;0,3262;0,8986;0,994
0,885000;-0,2734;0,3257;0,9020;0,997
0,886000;-0,2749;0,3281;0,9054;1,001
0,888000;-0,2758;0,3296;0,9062;1,003
0,890000;-0,2761;0,3303;0,9118;1,008
0,892000;-0,2773;0,3301;0,9189;1,015
0,894000;-0,2771;0,3315;0,9203;1,017
0,896000;-0,2790;0,3301;0,9203;1,017
0,899000;-0,2822;0,3296;0,9196;1,017
0,900000;-0,2822;0,3296;0,9196;1,017
0,903000;-0,2844;0,3288;0,9147;1,013
0,904000;-0,2841;0,3286;0,9091;1,008
0,906000;-0,2836;0,3293;0,9066;1,005
0,908000;-0,2834;0,3296;0,9054;1,004
0,910000;-0,2822;0,3291;0,9025;1,001
0,912000;-0,2822;0,3291;0,9010;1,000
0,915000;-0,2802;0,3293;0,8981;0,997
0,917000;-0,2766;0,3296;0,8942;0,992
0,920000;-0,2761;0,3306;0,8920;0,991
0,921000;-0,2744;0,3315;0,8883;0,987
0,923000;-0,2724;0,3323;0,8864;0,985
0,925000;-0,2717;0,3330;0,8847;0,984
0,927000;-0,2702;0,3340;0,8808;0,980
0,928000;-0,2675;0,3332;0,8773;0,976
0,930000;-0,2651;0,3332;0,8766;0,975
0,932000;-0,2634;0,3320;0,8783;0,975
0,934000;-0,2602;0,3308;0,8808;0,976
0,936000;-0,2609;0,3310;0,8800;0,976
0,939000;-0,2595;0,3306;0,8805;0,976
0,941000;-0,2580;0,3301;0,8827;0,977
0,943000;-0,2573;0,3301;0,8847;0,979
0,945000;-0,2551;0,3291;0,8864;0,979
0,946000;-0,2546;0,3284;0,8873;0,980
0,949000;-0,2556;0,3276;0,8876;0,980
0,951000;-0,2551;0,3269;0,8883;0,980
0,954000;-0,2538;0,3264;0,8898;0,981
0,955000;-0,2538;0,3264;0,8915;0,983
0,956000;-0,2531;0,3259;0,8925;0,983
0,960000;-0,2536;0,3232;0,8961;0,986
0,960000;-0,2536;0,3232;0,8961;0,986
0,962000;-0,2531;0,3237;0,8974;0,987
0,964000;-0,2529;0,3218;0,9018;0,990
0,966000;-0,2529;0,3222;0,9035;0,992
0,968000;-0,2536;0,3210;0,9071;0,995
0,971000;-0,2553;0,3179;0,9103;0,997
0,972000;-0,2548;0,3179;0,9130;1,000
